,index,cyrillic_backwards,transcription_backwards,cyrillic,transcription,derived_cyrillic,derived_transcription,form_cyrillic,form_transcription,часть речи,grammar,type,type_alternation,definition,example_cyrillic,example_transcription,example_definition,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
834,834,ейыв,ejɨv,выйе,vɨje,выйе,vɨje,,,Verb,,1.0,,ехать,выйе пӯдзэ альн,vɨje puuʒe al'n,ехать на оленях,выйе по̄йсэсьт,vɨje poojses't,ехать поездом,выйем ве̄шш,vɨjem v'eešš,принадлежности для езды,"выйе ланна, чӣррэ","vɨje lanna, čiirre","ехать в город, ",[m1]в тундру[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,858,анныв,annɨv,вынна,vɨnna,вынна,vɨnna,,,Adv,,,,"косо, криво;наклонно;навстречу друг другу (наискосок)",соавьнэтҍ вынна кӯррма ле̄в,soav'net vɨnna kuurrma l'eev,швы получились криво,ва̄ннҍцэ вынна,vaan'n'ce vɨnna,идти наискосок,вынна це̄ӊкхэ ця̄ӊӊкнэтҍ,vɨnna c'een̥kxe c'aan̥n̥knet,поставить жерди для куваксы (для чума) наклонно                                                                  выннлэнне,"то же, что вынна","to ž'e, čto vɨnna",,выннлэнне,vɨnnleɲ'ɲ'e,"мэ̄нэмь, ка̄нҍц ка̄ннцан ебпь то̄ммтма мы навстречу друг другу шли, а друг друга не узнали",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,951,энкц̄эв,enkceev,вэ̄цкнэ,veeckne,вэ̄ццкэ,veeccke,,,Verb,"постоянно;иногда, бывало",3.0,,"сбривать что (постоянно;иногда, бывало);скоблить, скрести что (постоянно ","[m1]иногда, бывало) 3. перен. смахивать, удалять что, убирать кого-что (откуда-либо - постоянно; иногда, бывало)[/m]",сӣмман бэдт вэ̄цкнэ,s'iimman bedt veeckne,бороду время от времени надо сбривать,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,1079,кгё,ggoj,ёгк,jogg,ёгк,jogg,ёг,jog,Noun,,1.0,,река,чӣӈӈлэсс ча̄дзь ёгк,čiiŋŋless čaaʒ' jogk,глубоководная река,паяс ёг,pajas jog,вверх по реке,ёгк,jogk,ня̄лльм устье реки,ёгк оалкхэшш,jogk oalkxešš,исток,кэ̄ннял ёгкэнҍ ко̄ллкэв,keeɲ'ɲ'al jogken' koollkev,перен. слезы льются рекой,ёгк кушшкэнҍ мэнэ е̄ллем па̄лль,jogk kuššken' mene jeel'l'em paal'l',посл. бурно прошла жизнь (букв. жизнь прошла как вода через порог),ёгк роаптэ эйй ко̄лк,jogk roapte ejj koolk,посл. река вспять не течёт ,[m1]прошедшего не воротишь [/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,1424,ӭтһ̄ак,e'thaak,ка̄һтӭ,kaaht'e,ка̄һтӭ,kaaht'e,,,Verb,,1.0,4,"закрывать / закрыть кого-что;накрывать / накрыть, покрывать / покрыть кого-что чем; ",кӣмьн ка̄һтӭ,k'iim'n kaahte,закрыть котёл,ка̄һтӭ чильмэтҍ,kaahte čil'met,закрыть глаза,ка̄һтэ пэ̄ҏҏьтэ па̄ррнэтҍ,kaahte peer̥'r̥'te paarrnet,запереть детей в комнате;,,kaahte soober,закрыть заседание,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,1450,лл̄ек,llee'k,ке̄лл,k'eell,ке̄лл,k'eell,,,Noun,общее число,3.0,,колокол,та̄гкэ пугк ке̄ллэтҍ,taagke pugk k'eellet,звонить во все колокола,ке̄лл алтэнч,k'eell altenč, ,[m1]1) оленуха-вожак (стада) 2) звонкоголосая (о певице)[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,1590,эллэсзаок,elleszaok,коазсэллэ,koazselle,коадзэ,koaʒe,,,Verb,постоянно,1.0,1*,"вешать, развешивать что (постоянно)",коазсэллэ вуэдтӭм оасскэтҍ,koazselle vuedtem oassket,оаллкэнҍ ко̄шшктэм гуэйкэ постоянно развёшивать постельные,принадлежности на улице для просушивания,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,2094,эстьпык,est'pɨk,кыпьтсэ,kɨp'tse,кыппьтэ,kɨp'p'te,,,Verb,"недолго, немного",3.0,,"поварить что (немного, недолго)",вуэннч бэдт вя̄л кыпьтсэ,vuennč bedt v'aal kɨp'tse,мясо нужно ещё поварить,"то же, что кыппьтлэ","to ž'e, čto kɨp'p'tle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,2550,эндӯл,enduul,лӯднэ,luudne,лӯдт,luudd,,,Verb,"постоянно;иногда, бывало",3.0,,"заряжать что-л. пулями (постоянно;иногда, бывало)",ӣджь лӯдэнҍт пысс,iidž' luuden't pɨss,заряжай ружьё сам,соннӭ тоаййв по̄дтэль лӯднэ патронэтҍ,son'n'e toajjv poodtel' luudne patronet,ему часто доводилось ,[m1]заряжать ружьё патронами[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,3002,этннэнкццӣм,etnnenkccii'm,мӣццкнэннтэ,m'iiccknennte,мӣццк,m'iicck,,,Verb,"постоянно;иногда, бывало",2.0,1*,"вянуть, увядать (постоянно;иногда, бывало);гнить, разлагаться;трухляветь (постоянно;иногда, бывало);","[m1]3. расползаться (от ветхости - постоянно; иногда, бывало) [/m]",кугкь оаррмэнҍ коаммас,kugk' oarrmen' koammas,мӣццкнэннтэв от долгого лежания койбы (см. [ref]КОАММАС[/ref]) трухлявеют,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,3043,энкйаом,enkjaom,моайкнэ,moajkne,ма̄ййкэ,maajjke,,,Verb,"постоянно;иногда, бывало",3.0,,"портить кого-что (постоянно;иногда, бывало)",со̄нн ӣджь моайкант,soonn iidž' moajkant,я̄ллмужэсь ,[m1]он сам себе портит жизнь[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,3123,еътррум,ejtrrum,мурртъе,murrtje,муррьтэ,mur'r'te,,,Verb,,3.0,,"разбиться, сломаться, раздробиться, разрушиться (о чем-л.)",на̄пь мурртъенҍ,naap' murrtjen',чашки разбились,савехь мурртъенҍ,sav'ex' murrtjen',лыжи сломались,страд. к муррьтэ,strad. k mur'r'te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3744,3744,эввулссао,evvulssao,оасслуввэ,oassluvve,оассэ,oasse,,,Verb,,1.0,,"поставить, установить (куваксу)",мыйй ё оасслувэмь,mɨjj jo oassluvem',мы уже установили куваксу,страд. к оассэ,strad. k oasse,,коавас оасслувэ,koavas oassluve,кувакса установлена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,4749,эллэхьммаор,ellex'm'maor,роаммьхэллэ,roam'm'xelle,роамм,roamm,,,Verb,постоянно,1.0,1*,"радовать кого чем, доставлять радость кому (постоянно)",па̄ррнэ роаммьхэллэв ӣжесь выгкмуженҍ,paarrne roam'm'xellev iiž'es' vɨgkmuž'en',дети,радуют своим поведением,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,4919,эллэхнэур,ellexneur,руэнхэллэ,ruenxelle,руэнн,ruenn,,,Verb,постоянно,1.0,1*,"делать что-л. зелёным, зеленить что (постоянно)",мыйй сте̄нэтҍ,mɨjj st'eenet,пэҏтэсьт руэнхэллэпь мы стены в доме всегда делаем зелёными (напр. красим в ,[m1]зелёный цвет)[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5791,5791,эхр̄ет,exree't,те̄рхэ,t'eerxe,те̄ррэ,t'eerre,,,Verb,,3.0,,гнать (стадо с помощью собак),пастэх те̄раһт чӯдзэ ва̄рра,pastex t'eeraht čuuʒe vaarra, ,[m1]пастух с помощью собаки гонит стадо к лесу[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5795,5795,эспҏ̄ет,esp̥ree't,те̄ҏпсэ,t'eer̥pse,те̄ҏҏпэ,t'eer̥r̥pe,,,Verb,"недолго, немного",3.0,,"порубить что (топором - недолго, немного)",,,,,,,,,,,,,,vɨje čuuhkas m'iil'l'te,ехать по дороге,кэ̄ллье то̄ммтсэ мӣлльтэ,keel'l'je toommtse m'iil'l'te,ходить по знакомым,ва̄ннҍцэ ноавьтэ кӣйе мӣлльтэ,vaan'n'ce noav'te k'iije m'iil'l'te,идти по следам зверя,лыһкэ пла̄н мӣлльтэ,lɨhke plaan m'iil'l'te,работать по плану,тыввнэдтэ маӈьмусс оаз на̄ль мӣлльтэ,tɨvvnedte maŋ'muss oaz naal' m'iil'l'te,одеваться по последней моде,ӣнцка мӣлльтэ воанцче,iincka m'iil'l'te voancče,прогуливаться по утрам,ва̄ннҍцэ рынт мӣлльтэ,vaan'n'ce rɨnt m'iil'l'te,идти вдоль берега,кэжь мӣлльтэ,kež' m'iil'l'te,вдоль (от начала до конца) чего,"кэжь мӣлльтэ ёг, я̄вьр","kež' m'iil'l'te jog, jaav'r","вдоль реки, озера",кэжь мӣлльтэ туэль,kež' m'iil'l'te tuel',вдоль стола,кэжь мӣлльтэ роаӈьк,kež' m'iil'l'te roaŋ'k,вдоль туловища,"а̄ка ва̄ннц авьтэмь пе̄льт, ка̄ллса ва̄ннц мӣлльтэ","aaka vaannc av'tem' p'eel't, kaallsa vaannc m'iil'l'te","бабушка идёт впереди, дедушка идёт следом",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5808,5808,ӭтһ̄ет,e'thee't,те̄һтӭ,t'eeht'e,те̄һтӭ,t'eeht'e,,,Verb,,2.0,5,"прям., перен. наткнуться, наскочить на кого-что;попасться кому",мунн тӣһтӭ со̄н э̄л а̄йнханна,munn t'iihte soon eel aajnxanna,я наткнулся на него случайно,пе̄ннэ тӣтӭ паллтас э̄л,p'eenne t'iite palltas eel,собака наскочила на волка,те̄һтӭ на̄вьл э̄л,t'eehte naav'l eel,наткнуться на гвоздь,те̄һтӭ тыгквэн юрт э̄л кнӣгасьт,t'eehte tɨgkven jurt eel kɲ'iigas't,,наткнуться на интересную мысль в книге; те̄һтӭ вӯййкэсьт са̄ййма,natknut's'a na int'er'esnuju mɨsl' v kɲ'ig'e; t'eehte vuujjkes't saajjma,"прям., перен. попасться прямо в сеть \# ко̄сс тӣтӭ ке̄дҍк э̄л погов. нашла коса на камень",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6227,6227,эхзу,exzu,узхэ,uzxe,уссэ,usse,,,Verb,понуд.,3.0,,понуд. к уссэ,,ponud. k usse,,мыйй тэнн ва̄рэнь та̄рьм узхэмь,mɨjj tenn vaareɲ' taar'm uzxem',этот гость у нас сегодня вдоволь насобирал ,[m1]ягод[/m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,6283,йамрру,jamrru,уррмай,urrmaj,уррьм,ur'r'm,,,AdjPred,сказ.,,,сказ.;поражённый личинками овода;,[m1]2. поражённый оспой[/m],тӯлльй лӣ уррмай,tuullij l'ii urrmaj,шкура поражена личинками овода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
