,index,cyrillic_backwards,transcription_backwards,cyrillic,transcription,derived_cyrillic,derived_transcription,form_cyrillic,form_transcription,часть речи,grammar,type,type_alternation,definition,example_cyrillic,example_transcription,example_definition,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
6,6,ӭтдэд-,e'd'ded-,-дэдтӭ,-ded'd'e,дэдт,dedd,,,Mor,,,,-то,,"to ž'e, čto -dedt",,касьт-дэдтӭ со̄нн адтҍ лӣ,kas't-dedte soonn adt l'ii,?! где-то он сейчас?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,аллан-,allan-,-налла,-nalla,на̄лль,naal'l',,,Mor,,,,подобный,,: m'iine-nalla,по-нашему,пе̄ннэ-налла,p'eenne-nalla,по-собачьи,пе̄ннэ лӣ паллтас-налла,p'eenne l'ii palltas-nalla,собака похожа на волка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,мэшлан-,mešlan-,-налшэм,-nalšem,на̄лль,naal'l',,,Mor,,,,подобный,,: palltas-nalšem p'eenne,похожая на волка собака,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,эввюърбба,evvujrbba,аббръюввэ,abbrjuvve,аббьр,ab'b'r,,,Verb,,1.0,,пойти - о дожде,,"to ž'e, čto abbrje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,эввюьльвв̄а,evvuj'l'v'vaa,а̄ввьльюввэ,aav'v'l'juvve,а̄ввьл,aav'v'l,,,Verb,страд.,1.0,,страд. к а̄ввьлье,,strad. k aav'v'l'je,,кӣммьн а̄ввьльювэ,k'iim'm'n aav'v'l'juve,котёл подвешен (над огнём),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,тдувтьва,dduvt'va,авьтвудт,av'tvudd,э̄ввт,eevvt,авьтвуд,av'tvud,Noun,,1.0,,первенство,,"to ž'e, čto eevvtvudt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,еннэлкй̄а,eɲɲelkjaa,а̄йклэнне,aajkleɲɲe,а̄ййк,aajjk,,,Adv,,,,рано,,"to ž'e, čto aajkalt aajkmušša",пораньше,то̄нн а̄йкмушша пуэдҍ,toonn aajkmušša pued,ты приходи пораньше,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,шала,šala,алаш,alaš,алаш,alaš,аллаш,allaš,Noun,,5.0,,алаш,,alaš,"(металлический лист или плоский камень, на которых разводится огонь в зимней куваксе)",пырр аллаш бэдт пыйе кӣдҍкэтҍ,pɨrr allaš bedt pɨje k'iidket,алаш нужно обложить камнями,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,эввульхела,evvul'xe'la,алехьлуввэ,al'ex'luvve,алехь,al'ex',,,Verb,,1.0,,"посинеть, стать синим",,"to ž'e, čto al'xuvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,эввюълл̄а,evvujllaa,а̄ллъюввэ,aalljuvve,а̄лль,aal'l',,,Verb,,1.0,,"то же, что а̄ллэ",,"to ž'e, čto aal'l'luvve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
