львв̄а	l'v'vaa	а̄ввьл	aav'v'l	а̄ввьл	aav'v'l	а̄вьл	aav'l	Noun		II	3	аввель (перекладина с крючьями для подвешивания чайников, котлов над огнём;иногда использовалась палка с сучком, которая подвижно присоединялась к перекладине при помощи верёвочной петли;сейчас используются металлические крючки на цепях - над костром подвешивается до трёх крючков)	а̄вьл ко̄ввсэсьт ко̄ррэ	aav'l koovvses't koorre	привязать в куваксе (в чуме) аввель	а̄вьл чиннэ	aav'l činne	(лыһкэ)  приготовить  (сделать) аввель																																																																																				
лл̄ат	llaat	та̄лл	taall	та̄лл	taall	та̄л	taal	Noun		I	2	медведь м	вӣллькесь та̄лл	v'iil'l'k'es' taall	белый медведь	ниӈӈлэсс та̄лл	ɲ'iŋŋless taall	медведица	Та̄л Ака	taal aka	фольк. Медведица																																																																																	
эввулълл̄ат	evvulllaat	та̄ллълуввэ	taallluvve	та̄лл	taall			Verb		I		фольк. превратиться в медведя;обзавестись медведем																																																																																										
этннэшййӯт	etnnešjjuut	тӯййшэннтэ	tuujjšennte	тӯйй	tuujj			Verb	постоянно;иногда, бывало	II	1*	работать (постоянно;иногда, бывало);делать, строить что (постоянно;иногда, бывало)																																																																																										
экһ̄яц	ekhaa'c	ця̄һкэ	c'aahke	ця̄кас	caakas			Verb		I	3	проводить / провести черту, линию;разрубать / разрубить что-л. на куски;метить / пометить (оленей, вырезать ножом на боку оленя родовой знак)	ця̄к вуэнч ке̄ммна	c'aak vuenč k'eemmna	! разруби мясо на куски для котла!	ця̄һкэ пӯдзэтҍ	c'aahke puuʒet	! пометьте оленей																																																																																				
тдэд-	dded-	-дэдт	-dedd	дэдт	dedd			Mor				-то	мунн-дэдт тон те̄да	munn-dedt ton t'eeda	я-то тебя знаю																																																																																							
ӭтдэд-	e'd'ded-	-дэдтӭ	-ded'd'e	дэдт	dedd			Mor				-то		to ž'e, čto -dedt		касьт-дэдтӭ со̄нн адтҍ лӣ	kas't-dedte soonn adt l'ii	?! где-то он сейчас?!																																																																																				
нэд-	ned-	-дэн	-den	дэн	den			Mor				-то	кнӣга-дэн ло̄гкекь	kɲ'iiga-den loogk'ek'	? ты книгу-то прочёл?																																																																																							
аллан-	allan-	-налла	-nalla	на̄лль	naal'l'			Mor				подобный		: m'iine-nalla	по-нашему	пе̄ннэ-налла	p'eenne-nalla	по-собачьи	пе̄ннэ лӣ паллтас-налла	p'eenne l'ii palltas-nalla	собака похожа на волка																																																																																	
мэшлан-	mešlan-	-налшэм	-nalšem	на̄лль	naal'l'			Mor				подобный		: palltas-nalšem p'eenne	похожая на волка собака																																																																																							
а	a	а	a	а	a			Conj				а;	пуада эмм та̄рьм, а ента	puada emm taar'm, a jenta	я приду не сегодня, а завтра	мунн лӣннче пӯдзэ пынньенҍ, а со̄нн ля̄ннч лӣхемь лаппьсъенҍ	munn l'iinnče puuʒe pɨɲ'ɲ'jen', a soonn l'aannč l'iix'em' lap'p'sjen'	я буду оленеводом, а она будет дояркой;	а ке̄ тоннӭ цӣӆькэ тэнн баяс?	a k'ee ton'n'e c'iil̥'ke tenn bajas?	а кто тебе сказал об этом?																																																																																	
а-а-а	a-a-a	а-а-а	a-a-a	а-а-а	a-a-a			Inter				возглас, которым подзывают оленёнка																																																																																										
йарбба	jarbba	аббрай	abbraj	аббьр	ab'b'r			AdjPred	сказ.			сказ. дождливый, дождлив	ке̄ссь ля̄йй аббрай	k'ees's' l'aajj abbraj	лето было дождливым																																																																																							
эшрбба	ešrbba	аббршэ	abbrše	аббьр	ab'b'r			Verb	Trop	III		считать что дождливым	мунн тэнн ке̄зь аббрша	munn tenn k'eez' abbrša	я считаю это лето дождливым																																																																																							
еърбба	ejrbba	аббръе	abbrje	аббьр	ab'b'r			Verb		III		пойти - о дожде	еськ пе̄ййв поашьтэ ё аббрэй	jes'k p'eejjv poaš'te jo abbrej	только что было солнечно, вдруг пошёл дождь																																																																																							
еннеърбба	eɲɲejrbba	аббръенне	abbrjeɲɲe	аббьр	ab'b'r			Adv				дождливо																																																																																										
эввюърбба	evvujrbba	аббръюввэ	abbrjuvve	аббьр	ab'b'r			Verb		I		пойти - о дожде		to ž'e, čto abbrje																																																																																								
эрбба	erbba	аббрэ	abbre	аббьр	ab'b'r			Verb		II	4	идти - о дожде, дождить	ке̄сся тоаййв эбьрэ	k'ees's'a toajjv eb're	лётом часто шёл дождь																																																																																							
рьбба	r'b'ba	аббьр	ab'b'r	аббьр	ab'b'r	абьр	ab'r	Noun		II	3	дождь м	аббьр аббр	ab'b'r abbr	дождь идёт; аббьр оалкхувэ дождь начался; эбьрэнҍ тӣвтэ пугк вӯметҍ водой залило все долины; аббьр-чалма капля (букв. глазок) дождя; коам аббьр проливной дождь, ливень																																																																																							
ьсеърьбба	'sejr'b'ba	аббьръесь	ab'b'rjes'	аббьр	ab'b'r			Adj				дождливый	аббьръесь ке̄ссь	ab'b'rjes' k'ees's'	дождливое лето																																																																																							
йеб̄а	je'baa	а̄бей	aab'ej	а̄бей	aab'ej			Noun	общее число	V		сожаление;боль ж (душевная); страдание	а̄бьесьт е̄лле	aab'jes't jeel'l'e	жить с обидой (в душе); ӣжян а̄бей ӣджьсан куэнта,																																																																																							
эввюрпб̄а	evvu'rbbaa	а̄бпрюввэ	aabbr'uvve	а̄бпяр	aab'b'ar			Verb		I		пропитаться закваской (о шкуре перед выделкой)	тӯльй а̄бпрюввенҍ - вуайй ме̄ййтэ	tuulij aabpr'uv'v'en' - vuajj m'eejjte	шкуры пропитались закваской - можно выделывать																																																																																							
ӭтһярпб̄а	e'tha'rbbaa	а̄бпряһтӭ	aabbr'aht'e	а̄бпяр	aab'b'ar			Verb		I	4*	намазать закваской (напр. шкуры перед выделкой для смягчения)	тӯльетҍ бэдт а̄бпряһтӭ ме̄ййтэм эвтэсьт	tuul'jet bedt aabpr'ahte m'eejjtem evtes't	шкуры перед выделкой нужно намазать закваской																																																																																							
ряпб̄а	ra'b'baa	а̄бпяр	aab'b'ar	а̄бпяр	aab'b'ar			Noun	общее число	V		закваска	а̄бпяр кӯцэнҍт	aabp'ar kuucen't	закваска закисла (т. е. готова)	бэдт лыһкэ вэрс а̄бпяр	bedt lɨhke vers aabp'ar	нужно сделать свежую закваску																																																																																				
энрба	enrba	абрнэ	abrne	аббьр	ab'b'r			Verb	начать	III		начаться - о дожде	ёкьна абрэнҍт	jok'na abren't	вечером начался дождь																																																																																							
эсрба	esrba	абрсэ	abrse	аббьр	ab'b'r			Verb		III		накрапывать - о дожде;моросить - о дожде																																																																																										
эллэсрба	ellesrba	абрсэллэ	abrselle	аббьр	ab'b'r			Verb	постоянно	I	1*	накрапывать - о дожде (постоянно);моросить - о дожде (долго)	абрсэлэ, абрсэлэ я воазе	abrsele, abrsele ja voaz'e	дождь накрапывал, накрапывал и прекратился	пе̄йвэсь абрсалл	p'eejves' abrsall	весь день моросит дождь																																																																																				
энлэсрба	enlesrba	абрсэлнэ	abrselne	аббьр	ab'b'r			Verb	иногда, бывало	III		накрапывать - о дожде (иногда, бывало);моросить - о дожде (иногда, бывало)																																																																																										
энжюьб̄а	enžuj'baa	а̄бьюжнэ	aab'južne	а̄бей	aab'ej			Verb	немного - постоянно;иногда, бывало	III		сожалеть, жалеть о чём, раскаиваться в чём (немного - постоянно;иногда, бывало);горевать, переживать о ком-чём и без доп. (немного - постоянно; иногда, бывало);	а̄бьюжэнҍт тэнн баяс эйй э̄ххьтэшьт	aab'južen't tenn bajas ejj eex'x'teš't	он сожалел об этом не раз;	мунн а̄бьюжна тэнн баяс	munn aab'južna tenn bajas	я немного жалею об этом	мунн а̄бьюжнэ, адтҍ ё ёанхувве	munn aab'južne, adt jo joanxuv'v'e	я горевала, бывало, а теперь уже успокоилась;   сыйй  ев  кугкь а̄бьюжна они недолго переживали																																																																																	
эсжюьб̄а	esžuj'baa	а̄бьюжсэ	aab'južse	а̄бей	aab'ej			Verb	недолго, немного	III		пожалеть о чём (немного);погоревать, попереживать о ком-чём и без доп. (немного, недолго)	а̄бьюжсэкь тэнн баяс я ля̄ннч	aab'južsek' tenn bajas ja l'aannč	ты пожалел немного об этом и хватит																																																																																							
эшшюьб̄а	eššuj'baa	а̄бьюшшэ	aab'jušše	а̄бей	aab'ej			Verb		I		сожалеть, жалеть о чем, раскаиваться в чём;горевать, переживать о ком-чём и без доп.	ель а̄бьюж пусьтэльт	jel' aab'juž pus'tel't	не сожалей напрасно	а̄бьюж ель а̄бьюж, а е̄лле бэдт эвтэс	aab'juž jel' aab'juž, a jeel'l'e bedt evtes	горюй не горюй, а жить-то надо (дальше)																																																																																				
в̄а	vaa	а̄в	aav	а̄в	aav			Adj				открытый	а̄в укс	aav uks	открытые двери	кнӣга ле̄в а̄в	kɲ'iiga l'eev aav	книги открыты																																																																																				
эллэдвв̄а	elledvvaa	а̄ввдэллэ	aavvdelle	а̄в	aav			Verb	постоянно	I	1*	прям., перен. открывать, раскрывать, вскрывать что (постоянно)	а̄ввдалле эһкан-чальм тоайва	aavvdal'l'e ehkan-čal'm toajva	чаще открывайте форточку																																																																																							
энлэдвв̄а	enledvvaa	а̄ввдэлнэ	aavvdelne	а̄в	aav			Verb	иногда, бывало	III		прям., перен. открывать, раскрывать, вскрывать что (иногда, быволо)																																																																																										
атвва	atvva	аввта	avvta	аввта	avvta			Adv				снова, вновь, опять	аввта ёадтэй вэ̄дз	avvta joadtej veeʒ	снова пошёл снег; сыйй аввта пӯдтӭнҍ они опять пришли; мыйй аввта уййнлэдэмь пэ̄йель выдт ыгь мы вновь увиделись через пять лет																																																																																							
элтвв̄а	eltvvaa	а̄ввтлэ	aavvtle	а̄ввтэ	aavvte			Verb	быстро, немного	III		погреть, согреть кого-что, разогреть что (немного, быстро);истопить, протопить что (быстро)	а̄ввтэль пе̄рк	aavvtel' p'eerk	разогрей быстренько обед	а̄ввтэль пе̄ц	aavvtel' p'eec	истопи быстренько печь																																																																																				
этвв̄а	etvvaa	а̄ввтэ	aavvte	а̄ввтэ	aavvte			Verb		II	3	греть, согревать / согреть кого-что;греть, нагревать / нагреть, разогревать / разогреть что;топить, отапливать /отопить, обогревать / обогреть что;	ма̄ртэсьт пэ̄ййв ё шӣгктэнне а̄ввт	maartes't peejjv jo š'iigkteɲ'ɲ'e aavvt	в марте солнце уже хорошо греет	югке мӯнненҍ ма̄лець шӣгктэнне а̄ввт	jugk'e muuɲ'ɲ'en' maal'ec' š'iigkteɲ'ɲ'e aavvt	малица хорошо греет в любые морозы	а̄вт ча̄зь кӣмьнэсьт	aavt čaaz' k'iim'nes't	грей воду в котле	а̄ййк пӯдӭ вя̄р а̄ввтэ	aajjk puude v'aar aavvte	пора разогревать обед	а̄вт ко̄ввас	aavt koovvas	обогрей куваксу (чум);	ке̄сся мыйй пэҏтэтҍ ебпь а̄вт	k'ees's'a mɨjj per̥tet jebp' aavt	лётом мы дома не обогреваем																																																																								
ьвв̄а	'v'vaa	а̄ввь	aav'v'	а̄ввь	aav'v'	а̄вь	aav'	Noun		I	3	горизонт	а̄ввь ця̄кас	aav'v' c'aakas	линия горизонта	пе̄ййв луэшштэдэ а̄вва	p'eejjv luešštede aavva	солнце скрылось за горизонтом																																																																																				
ьвв̄а	'v'vaa	а̄ввь	aav'v'	а̄ввь	aav'v'	а̄вь	aav'	Noun		I	3	свежесть	оассэнҍ а̄ввь аппс	oassen' aav'v' apps	бельё пахнет свежестью	а̄ввь пӣӈӈк удлэнне муррт ӣӈэтҍ	aav'v' p'iiŋŋk udleɲ'ɲ'e murrt iiŋet	свежий весенний ветер быстро ломает лёд																																																																																				
эдьвв̄а	ed'v'vaa	а̄ввьдэ	aav'v'de	а̄в	aav			Verb		III		прям., перен. открыть, раскрыть, вскрыть что	а̄введҍ эһкан	aav'v'ed ehkan	открой окно	а̄введҍ кырьй	aav'v'ed kɨr'j	распечатай письмо	нюэзетҍ лыгкэнҍ а̄ввьдэ	ɲ'uez'et lɨgken' aav'v'de	вскрыть недостатки в работе	кэ̄бла элэлэ чильмэтҍ а̄введҍ	keebla elele čil'met aav'v'ed	больной с трудом разомкнул веки																																																																														
эввульвв̄а	evvul'v'vaa	а̄ввьлуввэ	aav'v'luvve	а̄ввь	aav'v'			Verb	стать	I		стать свежим (чаще о белье, одежде)																																																																																										
энвульвв̄а	envul'v'vaa	а̄ввьлувнэ	aav'v'luvne	а̄ввь	aav'v'			Verb	постоянно;иногда, бывало	III		становиться свежим (постоянно;иногда, бывало)																																																																																										
еьльвв̄а	ej'l'v'vaa	а̄ввьлье	aav'v'l'je	а̄ввьл	aav'v'l			Verb		III		оборудовать что аввелем;подвесить что (над огнём)	бэдт ко̄ввас а̄ввьлье	bedt koovvas aav'v'l'je	нужно оборудовать куваксу (чум) аввелем	то̄лл ё пуэллэй, а̄ввьльегке кӣмьн то̄л э̄л	tooll jo puellej, aav'v'l'jegk'e k'iim'n tool eel	костёр уже разгорелся, подвесьте котёл над огнём																																																																																				
эввюьльвв̄а	evvuj'l'v'vaa	а̄ввьльюввэ	aav'v'l'juvve	а̄ввьл	aav'v'l			Verb	страд.	I		страд. к а̄ввьлье		strad. k aav'v'l'je		кӣммьн а̄ввьльювэ	k'iim'm'n aav'v'l'juve	котёл подвешен (над огнём)																																																																																				
ньвв̄а	n'v'vaa	а̄ввьн	aav'v'n	а̄ввьн	aav'v'n	а̄вьн	aav'n	Noun		II	3	уключина	пыйе оарьетҍ оавьнэтҍ	pɨje oar'jet oav'net	вставить вёсла в уключины																																																																																							
тьвв̄а	t'v'vaa	а̄ввьт	aav'v't	а̄ввьт	aav'v't	а̄вьт	aav't	Noun		II	3	самое глубокое место в водоёме																																																																																										
тссугва	tssugva	авгусст	avgusst	авгусст	avgusst	август	avgust	Noun		II		август																																																																																										
эллэнтва	ellentva	автнэллэ	avtnelle	э̄ввт	eevvt			Verb	постоянно	I	1*	двигать кого-что-л. вперёд (постоянно)																																																																																										
энлэнтва	enlentva	автнэлнэ	avtnelne	э̄ввт	eevvt			Verb	иногда, бывало	III		двигать кого-что-л. вперёд (иногда, бывало)																																																																																										
суботва	subotva	автобус	avtobus	автобус	avtobus			Noun	общее число	V		автобус	автобсэнҍ ёадтӭ	avtobsen' joadte	ехать автобусом																																																																																							
эств̄а	estvaa	а̄втсэ	aavtse	а̄ввтэ	aavvte			Verb	быстро	III		прям., перен. погреть, согреть кого-что;протопить, истопить что (быстро)	а̄втсэгке кӣдэтҍ то̄л луннҍ	aavtsegk'e k'iidet tool lun'n'	погрейте руки у огня	мунн пе̄ц а̄втса я пуада	munn p'eec aavtsa ja puada	я быстро истоплю печь и приду																																																																																				
эллэсльв̄а	ellesl'vaa	а̄вьлсэллэ	aav'lselle	а̄ввьл	aav'v'l			Verb	постоянно	I	1*	подвешивать что (над огнём - постоянно)	а̄вьлсэл ча̄йнэгкь то̄л э̄л	aav'lsel čaajnegk' tool eel	подвешивай чайник над огнём																																																																																							
энлэсльв̄а	enlesl'vaa	а̄вьлсэлнэ	aav'lselne	а̄ввьл	aav'v'l			Verb	иногда, бывало	III		подвешивать что (над огнём - иногда, бывало)																																																																																										
тдувтьва	dduvt'va	авьтвудт	av'tvudd	э̄ввт	eevvt	авьтвуд	av'tvud	Noun		I		первенство		to ž'e, čto eevvtvudt																																																																																								
ссумтьва	ssumt'va	авьтмусс	av'tmuss	э̄ввт	eevvt			Adj				передний;передовой, первый ( тж. лучший)	авьтмусс бригада	av'tmuss br'igada	передовая бригада	авьтмусс о̄һпнуввэй классэсьт	av'tmuss oohpnuvvej klasses't	первый ученик в классе																																																																																				
энтьва	ent'va	авьтнэ	av'tne	э̄ввт	eevvt			Verb		III		подвинуть кого-что-л. вперёд	авьтэнҍт мун стӯла	av'ten't mun stuula	подвинь мой стул вперёд																																																																																							
яъкга	ajgga	агкъя	aggja	агкь	ag'g'			Adj				вековой																																																																																										
ькга	'g'ga	агкь	ag'g'	агкь	ag'g'	агь	ag'	Noun		I	3	век, столетие	е̄лле нымьп лоагант агесьт	jeel'l'e nɨm'p loagant ag'es't	жить в двадцатом веке																																																																																							
ьсеькга	'sej'g'ga	агкьесь	ag'g'jes'	агкь	ag'g'			Adj				вековой	агкьесь мӯр	agk'jes' muur	вековые деревья	агкьесь олма	agk'jes' olma	долгожитель																																																																																				
эввулькга	evvul'g'ga	агкьлуввэ	ag'g'luvve	агкь	ag'g'			Verb		I		дожить до преклонного возраста	со̄нн агкьлувэ	soonn agk'luve	он дожил до глубокой старости																																																																																							
энвиссерга	envi's'se'rga	агрессивнэ	agr'es's'ivne	агрессивнэ	agr'es's'ivne			Adj				агрессивный																																																																																										
яиссерга	aji's'se'rga	агрессия	agr'es's'ija	агрессия	agr'es's'ija			Noun	общее число	IV		агрессия																																																																																										
ммонорга	mmonorga	агрономм	agronomm	агрономм	agronomm	агроном	agronom	Noun		I		агроном	шэ̄ннтэ агрономмэнҍ	šeennte agronommen'	стать агрономом																																																																																							
ьжда	'žda	аджь	adž'	аджь	adž'	ажь	až'	Noun		I	3	отец	ажьнӣййт	až'ɲ'iijjt	оленёнок (самка) или важенка, подаренная отцом (напр. дочери на свадьбу)																																																																																							
ьлл̄еп-ьжда	'l'lee'p-'žda	аджь-пе̄лль	adž'-p'eel'l'	аджь	adž'			Noun		I	4	отчим																																																																																										
яжда	a'žda	аджя	adž'a	аджь	adž'			Noun	общее число	IV		папа																																																																																										
езда	e'ʒa	адзе	aʒ'e	адзе	aʒ'e			Verb			4	прибывать / прибыть (о воде во время прилива)	ча̄дзь вя̄л э̄зе	čaaʒ' v'aal eez'e	вода ещё прибывала;																																																																																							
ьзд̄а	'ʒaa	а̄дзь	aaʒ'	а̄дзь	aaʒ'	а̄зь	aaz'	Noun		I	3	пах	оазенҍ ке̄бп куллай	oaz'en' k'eebp kullaj	в паху болит																																																																																							
эльзда	el'ʒa	адзьлэ	aʒ'le	адзе	aʒ'e			Verb	быстро	III		начать прибывать (о воде во время прилива);прибыть (быстро - о воде во время прилива)	ча̄дзь адзель а̄йкалт	čaaʒ' aʒ'el' aajkalt	прилив начался рано																																																																																							
ссерда	sse'rda	адресс	adr'ess	адресс	adr'ess	адрез	adr'ez	Noun		I		адрес	вӯййк адресс	vuujjk adr'ess	точный адрес; адресс кнӣга адресная книга																																																																																							
ҍтда	'd'da	адтҍ	ad'd'	адтҍ	ad'd'			Adv				теперь, сейчас, в настоящее время	адтҍ мыйй е̄ллепь тэста	adt mɨjj jeel'l'ep' testa	теперь мы живём здесь	адтҍ со̄нн пуадт	adt soonn puadt	он сейчас придёт адтҍенч современный	адтҍенч	adtjenč	я̄ллмушш современная жизнь адтҍханна сейчас же	мунн лыгка тэнн адтҍханна	munn lɨgka tenn adtxanna	я сделаю это сейчас же																																																																														
яҍтда	aj'd'da	адтҍя	ad'd'ja	адтҍ	ad'd'			Adj				то же, что адтҍенч																																																																																										
яжа	a'ža	ажя	až'a	аджь	adž'			Noun	общее число	IV		ласк. папочка																																																																																										
энза	enza	азнэ	azne	адзе	aʒ'e			Verb	быстро	III		начать прибывать (быстро - о воде во время прилива)	ча̄дзь азэнҍт	čaaʒ' azen't	вода быстро начала прибывать																																																																																							
эсьза	es'za	азьсэ	az'se	адзе	aʒ'e			Verb		III		прибыть (быстро - о воде во время прилива),	ча̄дзь азесьт	čaaʒ' az'es't	вода быстро прибыла																																																																																							
ейа	eja	айе	aje	айе	aje			Verb		I	4	быть занесённым (снегом, песком)	со̄нн э̄е вэ̄дзе	soonn eeje veeʒ'e	его занесло снегом																																																																																							
вей̄а	vejaa	а̄йев	aajev	а̄йй	aajj			Noun	общее число	V		внук, внучка (дедушкины)	коаллэш а̄йев	koalleš aajev	любимый внук, любимая внучка	а̄йя шоабашт ӣжесь а̄ййвэтҍ	aaja šoabašt iiž'es' aajjvet	мой дедушка любит своих внуков																																																																																				
йй̄а	jjaa	а̄йй	aajj	а̄йй	aajj	а̄й	aaj	Noun		I	3	дед	мӣн а̄й я ажь тоавсэнне ӣжесь Шаннт Е̄ммьне пынненҍ	m'iin aaj ja až' toavseɲ'ɲ'e iiž'es' šannt jeem'm'ɲ'e pɨɲ'ɲ'en'	наши деды и отцы мужественно защищали свою Родину																																																																																							
вйй̄а	vjjaa	а̄ййв	aajjv	а̄ййв	aajjv	а̄йв	aajv	Noun		II	3	покой, спокойствие, согласие (у кого-л.)	пугк нарэд та̄һтэв	pugk nared taahtev	а̄йвэсьт е̄лле все народы хотят жить в мире																																																																																							
ӭтһасвйй̄а	e'thasvjjaa	а̄ййвсаһтӭ	aajjvsaht'e	а̄ййв	aajjv			Verb		I	4*	успокоить кого																																																																																										
эллэсвйй̄а	ellesvjjaa	а̄ййвсэллэ	aajjvselle	а̄ййв	aajjv			Verb	постоянно	I	1*	успокаивать кого (постоянно)																																																																																										
энлэсвйй̄а	enlesvjjaa	а̄ййвсэлнэ	aajjvselne	а̄ййв	aajjv			Verb	иногда, бывало	III		успокаивать кого (иногда, бывало)																																																																																										
эшвйй̄а	ešvjjaa	а̄ййвшэ	aajjvše	а̄ййв	aajjv			Verb	Trop	III		считать кого спокойным, тихим, смирным																																																																																										
эдййа	edjja	аййдэ	ajjde	айе	aje			Verb		III		покрывать / покрыть, заносить / занести, засыпать / засыпать что  (снегом, песком)	вэ̄дз айяд е̄ммьне	veeʒ ajad jeem'm'ɲ'e	снег покрывает землю	вӯнтас вэххтэнне айедҍ ра̄зь	vuuntas vexxteɲ'ɲ'e ajed raaz'	песок быстро засыпал траву																																																																																				
эллэдййа	elledjja	аййдэллэ	ajjdelle	айе	aje			Verb	постоянно	I	1*	покрывать, заносить, засыпать что (снегом, песком - постоянно)																																																																																										
энлэдййа	enledjja	аййдэлнэ	ajjdelne	айе	aje			Verb	иногда, бывало	III		покрывать, заносить, засыпать что (снегом, песком - иногда, бывало)																																																																																										
эслэдййа	esledjja	аййдэлсэ	ajjdelse	айе	aje			Verb	быстро	III		покрыть, занести, засыпать что (снегом, песком;быстро)	вэ̄дз вэххтэнне аййдэлэсьт е̄ммьне	veeʒ vexxteɲ'ɲ'e ajjdeles't jeem'm'ɲ'e	снег быстро покрыл землю																																																																																							
кйй̄а	kjjaa	а̄ййк	aajjk	а̄ййк	aajjk	а̄йк	aajk	Noun		II	3	срок;пора	е̄ннэ а̄ййкэ мэ̄нэ	jeenne aajjke meene	прошло много времени	а̄ййк пӯдӭ	aajjk puude	парнатҍ поҏтэ̄ пришло время кормить ребятишек																																																																																				
нйй̄а	njjaa	а̄ййн	aajjn	а̄ййн	aajjn	а̄йн	aajn	Noun		II	3	будни мн.	а̄ййн пе̄ййв	aajjn p'eejjv	будничный (будний) день	а̄ййн платья	aajjn plat'ja	будничное платье	со̄нэсьт	soones't	я̄ллмужэсьт пай эфт ле̄в а̄йн у него в жизни пошли одни лишь будни	а̄йн оаннӭм	aajn oan'n'em	оассэ одежда для повседневной носки	то̄нн а̄йн оанҍ тыйта пиматҍ	toonn aajn oan' tɨjta p'imat	эти пимы ты носи каждый день																																																																											
энйй̄а	enjjaa	а̄ййнэ	aajjne	а̄ййнэ	aajjne			Verb		II	3	предвидеть, предчувствовать, предусмотреть что;ждать, ожидать чего	мунн эмм а̄ййнма тэнн	munn emm aajjnma tenn	я не ожидал этого	мунн оаййнэ сӣн пуэдтӭм па̄ль	munn oajjne s'iin puedtem paal'	я предвидела их приезд																																																																																				
тйй̄а	tjjaa	а̄ййт	aajjt	а̄ййт	aajjt	а̄йт	aajt	Noun		II	3	изгородь  (для оленей)	а̄ййт манн кэскэль пӯдзэ пыннем сэенҍ	aajjt mann keskel' puuʒe pɨɲ'ɲ'em sejen'	изгородь тянется между пастбищами																																																																																							
энтйй̄а	entjjaa	а̄ййтнэ	aajjtne	а̄йтнэ	aajtne			Verb		III		успокоиться, утихомириться, уняться (о ком-л.)	сыйй кугкь куллъенҍ, маӊӊа а̄ййтнэнҍ	sɨjj kugk' kulljen', man̥n̥a aajjtnen'	их долго было слышно, потом они успокоились																																																																																							
тлакй̄а	tlakjaa	а̄йкалт	aajkalt	а̄ййк	aajjk			Adv				рано	мунн коадцье та̄рьм а̄йкалт	munn koadc'je taar'm aajkalt	я встал сегодня рано																																																																																							
еннэлкй̄а	eɲɲelkjaa	а̄йклэнне	aajkleɲɲe	а̄ййк	aajjk			Adv				рано		to ž'e, čto aajkalt aajkmušša	пораньше	то̄нн а̄йкмушша пуэдҍ	toonn aajkmušša pued	ты приходи пораньше																																																																																				
ьсэкй̄а	'sekjaa	а̄йкэсь	aajkes'	а̄ййк	aajjk			Adj				ранний	а̄йкэсь мӯнне	aajkes' muuɲ'ɲ'e	ранние морозы																																																																																							
аннахнй̄а	annaxnjaa	а̄йнханна	aajnxanna	а̄ййнэ	aajjne			Adv				неожиданно	со̄нн пӯдӭ а̄йнханна	soonn puude aajnxanna	он пришёл неожиданно	а̄йнханнэнч: а̄йнханнэнч кӯссь	aajnxannenč: aajnxannenč kuus's'	нежданный гость																																																																																				
этьссантй̄а	et's'santjaa	а̄йтнассьтэ	aajtnas's'te	а̄йтнэ	aajtne			Verb	быстро, немного	II	4*	понянчить кого (немного);успокоить, утихомирить, унять кого (быстро)	а̄йтнасьт па̄ррнэтҍ, чофта ё шуммэв	aajtnas't paarrnet, čofta jo šummev	успокой быстренько ребят, уж очень они шумят																																																																																							
энтй̄а	entjaa	а̄йтнэ	aajtne	а̄йтнэ	aajtne			Verb		III		нянчить кого;успокоить, утихомирить, унять кого	а̄йтнэ парна	aajtne parna	успокоить ребёнка	па̄лль	paal'l'	пӯдӭ шӯшшъетҍ а̄йтнэ пора унять шалунов																																																																																				
