word1;word1 definitions;word2;word2 definitions;word1 sound; word2 sound
abbrše;['считать что дождливым'];abbrje;['пойти - о дожде'];š;j
abrne;['начаться - о дожде'];abrse;['накрапывать - о дожде', 'моросить - о дожде'];n;s
tuul'l'ja;['свою обиду ношу, держу в себе'];tuul'l'je;['держать кого-что'];a;e
aab'južne;['сожалеть, жалеть о чём, раскаиваться в чём (немного - постоянно', 'иногда, бывало)', 'горевать, переживать о ком-чём и без доп. (немного - постоянно; иногда, бывало);'];aab'južse;['пожалеть о чём (немного)', 'погоревать, попереживать о ком-чём и без доп. (немного, недолго)'];n;s
aav;['открытый'];aav'v';['свежесть'];v;v'v'
aav;['открытый'];aav'v';['свежесть'];v;v'v'
aav;['открытый'];aajj;['дед'];v;jj
aav;['открытый'];aak;['самка (дикого оленя, лося)'];v;k
aav;['открытый'];aal'l';['влага, сырость'];v;l'l'
aav;['открытый'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];v;š'š'
aavvdelle;['прям., перен. открывать, раскрывать, вскрывать что (постоянно)'];aalldelle;['делать что влажным, увлажнять что (постоянно)'];vv;ll
aavvdelne;['прям., перен. открывать, раскрывать, вскрывать что (иногда, быволо)'];aalldelne;['делать что влажным, увлажнять что (иногда, бывало)'];vv;ll
aav'v'de;['прям., перен. открыть, раскрыть, вскрыть что'];aallde;['сделать что влажным, увлажнить что'];v'v';ll
oavvne;['прям., перен. открыться, раскрыться', 'вскрыться', 'раскрыться, распуститься (о цветах, почках)'];oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];vv;l
oavvne;['прям., перен. открыться, раскрыться', 'вскрыться', 'раскрыться, распуститься (о цветах, почках)'];oannne;['укоротиться, стать короче, непродолжительнее', 'укоротиться, стать короче, ближе'];vv;nn
oavvne;['прям., перен. открыться, раскрыться', 'вскрыться', 'раскрыться, распуститься (о цветах, почках)'];oan'ne;['укоротить, сделать короче что'];vv;n'
oavvne;['прям., перен. открыться, раскрыться', 'вскрыться', 'раскрыться, распуститься (о цветах, почках)'];oazne;['ставить, устанавливать (куваксу - постоянно', 'иногда, бывало)'];vv;z
oavvnennte;['прям., перен. открываться, раскрываться', 'раскрываться, распускаться (о цветах,   почках  - постоянно; иногда, бывало)'];oannnennte;['укорачиваться, становиться короче, непродолжительнее (постоянно)', 'укорачиваться, становиться короче, ближе (постоянно)'];vv;nn
aavvte;['греть, согревать / согреть кого-что', 'греть, нагревать / нагреть, разогревать / разогреть что', 'топить, отапливать /отопить, обогревать / обогреть что;'];aax'x'te;['свежевать/освежевать кого-что'];vv;x'x'
aavvte;['греть, согревать / согреть кого-что', 'греть, нагревать / нагреть, разогревать / разогреть что', 'топить, отапливать /отопить, обогревать / обогреть что;'];eevvte;['опередить кого-что'];aa;ee
aavvte;['греть, согревать / согреть кого-что', 'греть, нагревать / нагреть, разогревать / разогреть что', 'топить, отапливать /отопить, обогревать / обогреть что;'];evvte;['заикаться'];aa;e
aavvtle;['погреть, согреть кого-что, разогреть что (немного, быстро)', 'истопить, протопить что (быстро)'];aax'x'tle;['освежевать кого-что (быстро)'];vv;x'x'
aavtse;['прям., перен. погреть, согреть кого-что', 'протопить, истопить что (быстро)'];aax'tse;[];v;x'
oavvtje;['греться, согреваться / согреться', 'нагреваться / нагреться, обогреваться / обогреться', 'обогреться', 'истопиться'];oasstje;['обеспечиваться настоем (из коры ольхи и берёзы)', 'пропитаться настоем (из коры берёзы и ольхи)'];vv;ss
oavvtje;['греться, согреваться / согреться', 'нагреваться / нагреться, обогреваться / обогреться', 'обогреться', 'истопиться'];oas's'tje;['обеспечить кого-что-л. посудой'];vv;s's'
oavvtje;['греться, согреваться / согреться', 'нагреваться / нагреться, обогреваться / обогреться', 'обогреться', 'истопиться'];oaš'š'tje;['обещать / пообещать что кому и с неопр.'];vv;š'š'
oavvtjuvve;['то же, что [b]оаввтъе'];oaš'š'tjuvve;[];vv;š'š'
oavtne;['прям., перен. греть, согревать  кого-что (постоянно', 'иногда, бывало)', 'нагревать, разогревать что (постоянно, иногда, бывало)', 'топить, отапливать, обогревать что (постоянно', 'иногда, бывало)'];oavtče;['то же, что [b]оавтнэ'];n;č
oavtne;['прям., перен. греть, согревать  кого-что (постоянно', 'иногда, бывало)', 'нагревать, разогревать что (постоянно, иногда, бывало)', 'топить, отапливать, обогревать что (постоянно', 'иногда, бывало)'];oar̥tne;['ругать, бранить кого-что (постоянно', 'иногда, бывало)'];v;r̥
oavtne;['прям., перен. греть, согревать  кого-что (постоянно', 'иногда, бывало)', 'нагревать, разогревать что (постоянно, иногда, бывало)', 'топить, отапливать, обогревать что (постоянно', 'иногда, бывало)'];evtne;['заикаться (постоянно', 'иногда, бывало)'];oa;e
oavtnedte;[];oavtčedte;['греться, согреваться, отогреваться (о ком-л.)', 'заниматься отапливанием чего, топить, протапливать что (в настоящий момент)'];n;č
oavtče;['то же, что [b]оавтнэ'];oar̥tče;['то же, что [b]оаҏтнэ'];v;r̥
aav'v';['свежесть'];aajj;['дед'];v'v';jj
aav'v';['свежесть'];aak;['самка (дикого оленя, лося)'];v'v';k
aav'v';['свежесть'];aal'l';['влага, сырость'];v'v';l'l'
aav'v';['свежесть'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];v'v';š'š'
aav'v';['свежесть'];aajj;['дед'];v'v';jj
aav'v';['свежесть'];aak;['самка (дикого оленя, лося)'];v'v';k
aav'v';['свежесть'];aal'l';['влага, сырость'];v'v';l'l'
aav'v';['свежесть'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];v'v';š'š'
aav'v'luvve;['стать свежим (чаще о белье, одежде)'];aal'l'luvve;[];v'v';l'l'
aav'v'l;['иногда использовалась палка с сучком, которая подвижно присоединялась к перекладине при помощи верёвочной петли', 'сейчас используются металлические крючки на цепях - над костром подвешивается до трёх крючков)'];aav'v'n;['уключина'];l;n
aav'v'l;['иногда использовалась палка с сучком, которая подвижно присоединялась к перекладине при помощи верёвочной петли', 'сейчас используются металлические крючки на цепях - над костром подвешивается до трёх крючков)'];aav'v't;['самое глубокое место в водоёме'];l;t
aav'v'n;['уключина'];aav'v't;['самое глубокое место в водоёме'];n;t
aav'v'n;['уключина'];aajjn;['будни мн.'];v'v';jj
aav'v'n;['уключина'];ev'v'n;['цвет, расцветка', 'тон'];aa;e
aav'v't;['самое глубокое место в водоёме'];aajjt;['изгородь  (для оленей)'];v'v';jj
aav'v't;['самое глубокое место в водоёме'];aaјјt;['амбар'];v'v';јј
aav'v't;['самое глубокое место в водоёме'];aallt;['важенка (оленья самка с 4 до 8-10 лет', 'самая сильная и мудрая становится вожаком стада)'];v'v';ll
agk';['век, столетие'];ɨgk';['год', 'с каждым годом'];a;ɨ
agk'luvve;['дожить до преклонного возраста'];ɨgk'luvve;['достигнуть года'];a;ɨ
adž';['отец'];adt;['теперь, сейчас, в настоящее время'];ž';t
adž';['отец'];iidž';['сам (лично)'];a;ii
až'a;['ласк. папочка'];ama;['. же', 'ведь', 'однако, но', '[b]то̄нн тэнн баяс тӣдтӭкь, ама эгк ця̄ӆӆкма'];ž';m
až'a;['ласк. папочка'];iiž'a;['сами'];a;ii
azne;['начать прибывать (быстро - о воде во время прилива)'];assne;['стать толще (о мездре)'];z;ss
azne;['начать прибывать (быстро - о воде во время прилива)'];oazne;['ставить, устанавливать (куваксу - постоянно', 'иногда, бывало)'];a;oa
azne;['начать прибывать (быстро - о воде во время прилива)'];ozne;['искать кого-что, чего, тж. перен., разыскивать кого-что (постоянно', 'иногда, бывало)'];a;o
azne;['начать прибывать (быстро - о воде во время прилива)'];uzne;['собирать ягоды (постоянно', 'иногда, бывало)'];a;u
azne;['начать прибывать (быстро - о воде во время прилива)'];allne;['то же, что [b]э̄ллнэ'];z;ll
azne;['начать прибывать (быстро - о воде во время прилива)'];al'ne;['делать / сделать что-л. более высоким', 'поднимать / поднять что-л. выше, приподнимать / приподнять что (от пола)'];z;l'
eez'ne;['прибывать (о воде во время прилива - постоянно', 'иногда, бывало)'];eellne;['стать высоким, вырасти', 'подняться высоко'];z';ll
adt;['теперь, сейчас, в настоящее время'];al'l't;['близко, вблизи, недалеко'];d;l'l'
