тип;глас0;глас1;глас2;Где?;ACC.SG;GEN.SG;ILL.SG;LOC.SG;COM.SG;ABE.SG;NOM.PL;ACC.PL;GEN.PL;ILL.PL;LOC.PL;COM.PL;ABE.PL;ESS;PART
1;э̄;э;;ACC.SG, GEN.SG, LOC.SG, COM.SG, ABE.SG, весь PL;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0
1;о̄;o;;ACC.SG, GEN.SG, LOC.SG, COM.SG, ABE.SG, весь PL;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0
2;а̄;оа̄;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;о̄;оа̄;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;е̄;я̄;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;я̄;ӣ;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;ӯ;уэ;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;ю̄;юэ;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;ӣ;е̄;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;уэ;ӯ;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;уа;ӯ;;ILL.SG;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
3;а;э;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;а̄;оа̄;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;я̄;ёа̄;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;я;ёа;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;я̄й;ӣ;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;оа;о;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
3;уа;ӯ;;COM.SG, весь PL кроме NOM.PL;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0
4;е̄;я̄;ӣ;"ILL.SG - глас2, COM.SG, весь PL кроме NOM.PL - глас3";0;0;1;0;2;0;0;2;2;2;2;2;2;0;0
4;уэ;уа;ӯ;"ILL.SG - глас2, COM.SG, весь PL кроме NOM.PL - глас4";0;0;1;0;2;0;0;2;2;2;2;2;2;0;0
4;юэ;юа;ю̄;"ILL.SG - глас2, COM.SG, весь PL кроме NOM.PL - глас5";0;0;1;0;2;0;0;2;2;2;2;2;2;0;0
